Waktu,PM10,PM2p5,SO2,CO,O3,NO2,HC,KecAngin,ArahAngin,Kelembaban,Suhu,TekUdara,SolRad,CurahHujan
2020-01-11 02:00,10,10,,3332,,4,,0,250,96,23.67,996.2,0,17.27
2020-01-11 02:30,6,6,,1967,,4,,0,250,96,23.67,995.9,0,17.27
2020-01-11 03:00,7,7,,1716,,4,,0,250,96,23.67,995.53,0,17.27
2020-01-11 03:30,8,8,,1513,,4,,0,249,96,23.56,995.15,0,17.27
2020-01-11 04:00,9,9,,1706,,4,,0,249,97,23.5,995.32,0,17.27
2020-01-11 04:30,9,8,,2138,,4,,0,249,96,23.33,995.53,0,17.27
2020-01-11 05:00,7,8,,1968,,4,,0,249,97,23.28,995.76,0,17.27
2020-01-11 05:30,8,8,,3859,,4,,0,249,97,23.39,996.03,0,17.27
2020-01-11 06:00,10,11,,4883,,4,,0,249,97,23.44,996.07,32,17.27
2020-01-11 06:30,15,14,3,9763,,4,,0,249,97,23.78,996.47,65,17.27
2020-01-11 07:00,18,17,5,11715,,6,,0,249,96,24.06,996.41,70,17.27
2020-01-11 07:30,24,23,5,14421,,8,,0,249,94,25.11,996.85,181,17.27
2020-01-11 08:00,8,7,5,12680,,8,,0,306,83,27.06,997.12,65,17.27
2020-01-11 08:30,5,4,5,8958,,6,,1.61,354,77,28.89,997.19,232,17.27
2020-01-11 09:00,4,6,5,4263,,6,,1.61,354,73,29.61,997.32,232,17.27
2020-01-11 09:30,6,6,3,2314,,8,,3.22,332,70,30.33,997.32,241,17.27
2020-01-11 10:00,5,5,3,979,,8,,4.83,286,71,29.83,997.15,22,17.27
2020-01-11 10:30,14,8,3,1120,,8,,1.61,250,70,30.83,997.02,219,17.27
2020-01-11 11:00,8,8,3,1386,,8,,9.66,260,68,31.17,996.85,236,17.27
2020-01-11 11:30,6,5,3,1339,,8,,3.22,212,66,31.5,996.71,235,17.27
2020-01-11 12:00,7,6,3,1150,,8,,14.48,359,64,32,996.34,58,17.27
2020-01-11 12:30,7,6,3,2156,,8,,3.22,13,66,31.17,996.24,108,17.27
2020-01-11 13:00,7,6,3,1616,,8,,4.83,14,68,30.61,995.93,157,17.27
2020-01-11 13:30,5,6,3,2633,,9,,3.22,318,69,30.28,995.76,113,17.27
2020-01-11 14:00,7,6,,1830,30,9,,6.44,332,65,30.89,995.32,38,17.27
2020-01-11 14:30,5,5,,922,,9,,6.44,350,63,32,994.95,73,17.27
2020-01-11 15:00,4,5,,,,9,,16.09,14,63,31.72,995.12,130,17.27
2020-01-11 15:30,5,4,3,863,,9,,4.83,230,62,31.78,994.95,182,17.27
2020-01-11 16:00,8,7,3,2346,24,9,,6.44,285,64,31.17,995.22,152,17.27
2020-01-11 16:30,6,6,3,3454,30,8,,1.61,238,68,30.22,995.32,190,17.27
2020-01-11 17:00,6,6,3,4313,10,9,,1.61,75,72,29.33,995.56,79,17.27
2020-01-11 17:30,6,5,3,5362,,8,,0,344,75,28.61,996.1,26,17.27
2020-01-11 18:00,8,8,,5387,20,6,,1.61,297,77,28.17,996.54,0,17.27
2020-01-11 18:30,9,8,,4613,,4,,0,291,80,27.78,997.05,0,0
2020-01-11 19:00,12,12,,6613,26,6,,0,251,82,27.56,997.59,0,0
2020-01-11 19:30,7,7,,314,,4,,0,107,92,23.56,998.44,0,13.72
2020-01-11 20:00,5,4,,1954,,4,,0,316,94,23.28,998.3,0,15.75
2020-01-11 20:30,4,4,,3033,,6,,1.61,41,94,23.39,998.3,0,18.03
2020-01-11 21:00,7,5,,2786,,6,,0,67,95,23.61,998.3,0,19.56
2020-01-11 21:30,11,10,,5527,,4,,1.61,67,95,23.83,997.93,0,20.32
2020-01-11 22:00,6,7,,4129,,5,,1.61,354,94,24,997.93,0,20.83
2020-01-11 22:30,3,3,,1791,,4,,3.22,32,91,24.22,997.73,0,20.83
2020-01-11 23:00,4,4,,1036,,4,,3.22,34,90,24.44,997.8,0,20.83
2020-01-11 23:30,4,4,,579,,4,,0,20,89,24.67,997.39,0,20.83
2020-01-12 00:00,5,4,,589,,4,,1.61,24,88,24.61,997.15,0,20.83
2020-01-12 00:30,5,5,,1762,,4,,0,25,88,24.56,996.71,0,20.83
2020-01-12 01:00,6,5,,612,,4,,0,13,87,24.61,996.2,0,20.83
2020-01-12 01:30,7,7,,,,4,,1.61,13,85,24.56,996.14,0,20.83
2020-01-12 02:00,5,5,,,,4,,0,31,84,24.67,995.83,0,20.83
2020-01-12 02:30,4,4,,,,4,,0,31,85,24.5,995.8,0,20.83
2020-01-12 03:00,4,4,,,,4,,0,31,84,24.56,995.56,0,20.83
2020-01-12 03:30,5,5,,,,4,,0,354,83,24.78,995.63,0,20.83
2020-01-12 04:00,5,4,,,,4,,0,354,84,24.72,995.8,0,20.83
2020-01-12 04:30,6,8,,585,,4,,0,354,85,24.44,995.76,0,20.83
2020-01-12 05:00,16,14,,6944,,4,,0,354,90,24.17,995.76,0,20.83
2020-01-12 05:30,13,12,3,13420,,2,,0,354,91,23.83,995.8,0,20.83
2020-01-12 06:00,18,17,5,16062,,2,,0,354,93,23.56,995.97,32,20.83
2020-01-12 06:30,22,22,5,16341,,4,,0,46,93,23.78,996.54,63,20.83
2020-01-12 07:00,8,8,8,16830,,4,,0,45,87,24.83,996.44,116,20.83
2020-01-12 07:30,9,6,5,10210,,6,,3.22,295,78,26.94,996.51,165,20.83
2020-01-12 08:00,6,7,5,5846,,6,,3.22,274,73,28.28,996.75,26,20.83
2020-01-12 08:30,5,6,5,3524,,6,,3.22,21,69,29.44,996.51,80,20.83
2020-01-12 09:00,5,4,3,1815,,6,,4.83,319,66,30.28,996.47,14,20.83
2020-01-12 09:30,4,4,3,609,,6,,1.61,96,64,30.67,996.14,85,20.83
2020-01-12 10:00,4,3,3,,,6,,6.44,327,59,31.61,996.07,82,20.83
2020-01-12 10:30,4,4,3,,,6,,3.22,37,59,31.39,996.14,241,20.83
2020-01-12 11:00,3,3,3,,,8,,4.83,14,59,31.94,995.7,39,20.83
2020-01-12 11:30,4,3,3,,,8,,8.05,29,59,31.89,995.49,52,20.83
2020-01-12 12:00,4,4,3,,,8,,3.22,305,57,32.44,995.15,180,20.83
2020-01-12 12:30,4,4,3,,,8,,3.22,227,58,32.89,994.75,209,20.83
2020-01-12 13:00,5,4,3,,,8,,6.44,8,57,33.17,994.61,182,20.83
2020-01-12 13:30,3,4,3,,,8,,6.44,343,57,33,994.14,23,20.83
2020-01-12 14:00,6,7,3,,,8,,1.61,22,58,32.22,993.83,140,20.83
2020-01-12 14:30,5,5,3,,,8,,3.22,324,63,31.06,993.66,117,20.83
2020-01-12 15:00,7,6,3,,,8,,1.61,300,64,30.61,993.56,6,20.83
2020-01-12 15:30,5,5,3,337,,8,,3.22,251,67,30.17,993.46,223,20.83
2020-01-12 16:00,11,9,3,526,,8,,4.83,14,67,30.06,993.66,197,20.83
2020-01-12 16:30,9,10,3,1147,,8,,3.22,347,69,29.78,993.93,153,20.83
2020-01-12 17:00,11,8,3,1110,,8,,1.61,40,68,29.44,994.17,111,20.83
2020-01-12 17:30,11,10,3,1762,,8,,0,29,70,29.17,994.65,58,20.83
2020-01-12 18:00,12,11,,1289,,6,,1.61,54,73,28.56,994.78,0,20.83
2020-01-12 18:30,11,10,,1383,,4,,1.61,335,75,28.17,995.02,0,0
2020-01-12 19:00,13,11,,2816,,4,,4.83,10,77,27.83,995.59,0,0
2020-01-12 19:30,12,11,,3059,,4,,0,308,79,27.5,996.17,0,0
2020-01-12 20:00,25,22,,6727,,4,,0,23,81,27.22,996.64,0,0
2020-01-12 20:30,23,21,,5127,,4,,0,23,82,26.89,996.27,0,0
2020-01-12 21:00,18,17,,16517,,4,,0,23,83,26.56,996.31,0,0
2020-01-12 21:30,15,15,,7304,,4,,0,23,83,26.33,996.54,0,0
2020-01-12 22:00,16,15,,9088,,2,,1.61,23,82,26.06,996.31,0,0
2020-01-12 22:30,20,19,,6374,,2,,3.22,326,83,26.06,996.24,0,0
2020-01-12 23:00,12,11,,3623,,2,,1.61,4,83,25.89,996.1,0,0
2020-01-12 23:30,12,10,,2422,,2,,1.61,32,82,25.89,995.7,0,0
2020-01-13 00:00,12,11,,1592,,2,,1.61,29,83,25.67,995.32,0,0
2020-01-13 00:30,11,9,,1234,,2,,1.61,52,83,25.5,994.98,0,0
2020-01-13 01:00,7,6,,940,,2,,0,359,84,25.39,994.65,0,0
2020-01-13 01:30,15,12,,,,2,,0,331,84,25.39,994.65,0,0
2020-01-13 02:00,28,27,,,,2,,1.61,286,84,25.33,994.27,0,0
2020-01-13 02:30,19,20,,260,,2,,0,286,85,25.22,994.17,0,0
2020-01-13 03:00,15,13,,424,,2,,0,286,86,25.11,993.93,0,0
2020-01-13 03:30,13,12,,1099,,2,,0,286,87,24.78,993.83,0,0
2020-01-13 04:00,7,7,,2413,,4,,0,285,88,24.72,994.1,0,0
2020-01-13 04:30,8,8,,1711,,4,,0,285,88,24.78,994.14,0,0
2020-01-13 05:00,8,7,,2602,,4,,0,285,88,24.67,994.21,0,0
2020-01-13 05:30,12,11,,3799,,4,,0,285,89,24.33,994.51,0,0
2020-01-13 06:00,13,12,,6425,,2,,0,286,89,24.28,994.88,42,0
2020-01-13 06:30,11,11,3,6364,,6,,3.22,347,84,25.78,995.05,90,0
2020-01-13 07:00,14,13,3,6365,,6,,1.61,4,80,27.17,995.49,135,0
2020-01-13 07:30,12,12,5,5558,,6,,3.22,327,78,27.83,995.39,243,0
2020-01-13 08:00,9,8,5,4482,,6,,3.22,4,73,28.83,995.32,141,0
2020-01-13 08:30,7,7,3,3188,,6,,3.22,265,71,29.61,995.46,15,0
2020-01-13 09:00,7,8,3,1299,,6,,3.22,305,69,30.06,995.36,73,0
2020-01-13 09:30,6,6,3,792,,8,,8.05,39,65,31.17,995.32,86,0
2020-01-13 10:00,8,7,3,1127,,8,,1.61,73,66,31.28,995.05,35,0
2020-01-13 10:30,8,7,3,317,,8,,3.22,277,63,31.67,994.92,12,0
2020-01-13 11:00,7,7,3,3101,,8,,4.83,9,63,32.17,994.78,18,0
2020-01-13 11:30,9,7,,3664,20,6,,4.83,4,59,33,994.38,123,0
2020-01-13 12:00,7,6,,1026,,6,,6.44,299,59,33.17,994.31,230,0
2020-01-13 12:30,6,6,,1216,,6,,4.83,301,57,33.61,993.93,73,0
2020-01-13 13:00,6,5,,1592,,6,,3.22,312,57,33.11,993.63,139,0
2020-01-13 13:30,5,5,3,1091,,8,,3.22,272,55,33.44,993.6,235,0
2020-01-13 14:00,5,4,3,1784,,8,,3.22,206,53,33.39,993.43,159,0
2020-01-13 14:30,6,4,3,935,,8,,12.87,77,52,33.22,993.29,70,0
2020-01-13 15:00,7,7,3,751,,8,,6.44,354,54,32.67,993.16,236,0
2020-01-13 15:30,6,6,3,684,,8,,3.22,268,56,32.33,993.26,243,0
2020-01-13 16:00,5,5,3,1864,,8,,3.22,265,59,32.06,993.33,4,0
2020-01-13 16:30,6,6,3,2517,,8,,3.22,10,63,30.72,993.6,181,0
2020-01-13 17:00,6,6,3,1662,,8,,3.22,68,64,30.11,993.83,121,0
2020-01-13 17:30,11,10,3,1358,,8,,3.22,224,68,29.5,994.17,56,0
2020-01-13 18:00,14,13,,5724,,6,,1.61,315,72,28.83,994.54,0,0
2020-01-13 18:30,23,22,,4790,,4,,1.61,240,75,28.28,995.09,0,0
2020-01-13 19:00,18,17,,2748,,4,,0,286,77,27.89,995.39,0,0
2020-01-13 19:30,22,21,,4374,,4,,1.61,354,78,27.56,995.73,0,0
2020-01-13 20:00,22,23,,6056,,4,,1.61,322,79,27.28,996.2,0,0
2020-01-13 20:30,32,31,,6364,,4,,1.61,27,79,27.11,996.07,0,0
2020-01-13 21:00,25,23,,14610,,4,,0,27,80,26.83,996.03,0,0
2020-01-13 21:30,22,21,,11016,,4,,0,27,80,26.44,996.1,0,0
2020-01-13 22:00,21,21,,7972,,4,,1.61,27,78,26.78,997.02,0,0
2020-01-13 22:30,14,14,,6688,,2,,0,27,78,26.89,996.64,0,0
2020-01-13 23:00,16,15,,6135,,2,,0,27,79,26.78,996.37,0,0
2020-01-13 23:30,17,16,,7338,,2,,0,27,80,26.56,996.24,0,0
2020-01-14 00:00,23,20,,4389,,2,,0,27,80,26.56,996.17,0,0
2020-01-14 00:30,11,10,,2325,,2,,0,21,81,26.67,996.07,0,0
2020-01-14 01:00,10,9,,1397,,2,,3.22,18,81,26.72,995.76,0,0
2020-01-14 01:30,5,5,,,,2,,0,19,84,26.5,995.43,0,0
2020-01-14 02:00,7,7,,1154,,2,,0,19,86,26.28,995.46,0,0
2020-01-14 02:30,14,15,,2744,,2,,0,19,87,26.17,995.32,0,0
2020-01-14 03:00,26,23,,3879,,2,,0,21,89,25.94,995.15,0,0.25
2020-01-14 03:30,26,22,,3517,,2,,0,21,91,25.61,995.26,0,0.25
2020-01-14 04:00,21,21,,2856,,4,,1.61,27,91,25.39,995.32,0,0.25
2020-01-14 04:30,22,20,,2889,,2,,1.61,187,91,25.5,995.32,0,0.25
2020-01-14 05:00,12,11,,1524,,4,,0,187,90,25.22,995.63,0,0.25
2020-01-14 05:30,19,18,,2651,,2,,1.61,187,92,25.22,995.63,0,0.25
2020-01-14 06:00,19,18,,4292,,4,,0,154,91,25.17,996.03,14,0.25
2020-01-14 06:30,28,29,3,8211,,4,,0,158,91,25.56,996.37,42,0.25
2020-01-14 07:00,20,20,5,8624,,6,,0,21,87,26.22,996.64,60,0.25
2020-01-14 07:30,21,20,5,7351,,6,,0,166,83,27.28,996.51,220,0.25
2020-01-14 08:00,10,9,5,5856,,8,,1.61,197,77,28.61,996.51,17,0.25
2020-01-14 08:30,11,11,5,3093,,9,,1.61,194,73,29.94,996.44,161,0.25
2020-01-14 09:00,14,13,5,4413,,8,,3.22,194,68,31.56,996.37,113,0.25
2020-01-14 09:30,18,16,5,3224,,8,,0,195,67,31.61,995.97,202,0.25
2020-01-14 10:00,20,16,5,3336,,8,,1.61,268,62,32.72,995.76,8,0.25
2020-01-14 10:30,22,20,5,3485,,8,,3.22,254,62,32.33,995.59,84,0.25
2020-01-14 11:00,23,21,5,4320,,8,,3.22,239,62,32.44,995.43,27,0.25
2020-01-14 11:30,24,23,5,4832,,8,,3.22,154,60,33.06,994.95,110,0.25
2020-01-14 12:00,26,22,5,3780,,8,,3.22,185,69,31.72,994.88,171,0.25
2020-01-14 12:30,13,12,3,3349,,8,,1.61,310,69,31.61,994.68,214,0.25
2020-01-14 13:00,16,15,3,5011,,8,,4.83,198,69,32.44,994.27,141,0.25
2020-01-14 13:30,13,12,,4442,,6,,6.44,187,60,32.78,994.17,225,0.25
2020-01-14 14:00,7,7,,3503,,6,,9.66,268,53,34.33,993.97,74,0.25
2020-01-14 14:30,8,7,,4644,,6,,3.22,354,53,34.33,993.73,186,0.25
2020-01-14 15:00,6,6,3,2572,,6,,3.22,306,57,33.22,993.9,51,0.25
2020-01-14 15:30,6,6,3,2328,,8,,1.61,8,58,32.28,993.9,59,0.25
2020-01-14 16:00,9,7,3,5000,,8,,8.05,189,64,31.5,994.17,192,0.25
2020-01-14 16:30,9,7,3,7454,29,9,,6.44,235,69,30.44,994.24,111,0.25
2020-01-14 17:00,11,10,5,7187,9,9,,4.83,253,72,29.83,994.85,47,0.25
2020-01-14 17:30,12,10,3,4582,67,8,,4.83,314,73,29.44,995.36,23,0.25
2020-01-14 18:00,14,19,,3059,,6,,3.22,231,74,29.17,995.56,0,0.25
2020-01-14 18:30,16,16,,5285,42,6,,3.22,193,75,28.94,996.03,0,0
2020-01-14 19:00,20,17,,14756,,4,,1.61,198,76,28.83,996.37,0,0
2020-01-14 19:30,14,13,,11030,63,4,,1.61,193,77,28.67,996.95,0,0
2020-01-14 20:00,13,12,,11670,,4,,0,276,79,28.39,997.19,0,0
2020-01-14 20:30,7,7,,7227,,2,,1.61,310,80,28.11,997.42,0,0
2020-01-14 21:00,7,6,,3426,,2,,0,347,81,28.06,997.86,0,0
2020-01-14 21:30,16,14,,5878,,2,,0,268,82,28,997.76,0,0
2020-01-14 22:00,13,11,,5783,,2,,0,21,83,27.61,997.73,0,0
2020-01-14 22:30,14,12,,12739,,2,,0,21,84,27.28,997.52,0,0
2020-01-14 23:00,12,11,,7004,,2,,0,21,85,27.28,997.39,0,0
2020-01-14 23:30,9,9,,2826,,2,,1.61,318,84,27.28,997.39,0,0
2020-01-15 00:00,4,5,,,,2,,0,290,86,26.5,997.32,0,0.25
2020-01-15 00:30,6,7,,977,,2,,0,339,88,26.17,996.75,0,0.25
2020-01-15 01:00,10,9,,1197,,2,,0,339,89,26.11,996.64,0,0.25
2020-01-15 01:30,18,16,,811,,2,,0,339,89,26.11,996.34,0,0.25
2020-01-15 02:00,17,16,,,,2,,1.61,339,89,26.17,996.41,0,0.25
2020-01-15 02:30,13,12,,,,2,,0,339,88,26.06,996.24,0,0.25
2020-01-15 03:00,14,14,,1468,,2,,0,339,89,25.89,996.14,0,0.25
2020-01-15 03:30,18,17,,1243,,2,,0,339,90,25.89,996.1,0,0.25
2020-01-15 04:00,16,15,,2792,,2,,0,339,90,25.67,996.1,0,0.25
2020-01-15 04:30,20,20,,2530,,2,,0,339,92,25.56,996.27,0,0.25
2020-01-15 05:00,22,19,,2903,,2,,0,339,92,25.44,996.58,0,0.25
2020-01-15 05:30,26,30,3,8204,,2,,0,339,93,25.33,996.81,0,0.25
2020-01-15 06:00,30,27,3,9623,,2,,0,339,93,25.44,996.98,28,0.25
2020-01-15 06:30,26,24,3,8631,,4,,0,339,92,25.83,997.29,53,0.25
2020-01-15 07:00,39,38,5,8553,,6,,0,14,89,26.5,997.59,77,0.25
2020-01-15 07:30,36,35,5,9764,,6,,0,52,84,27.56,997.52,148,0.25
2020-01-15 08:00,29,26,5,9274,,6,,1.61,153,77,29.17,997.69,89,0.25
2020-01-15 08:30,37,34,8,9574,,8,,1.61,204,75,29.78,997.83,199,0.25
2020-01-15 09:00,16,14,5,7172,,8,,3.22,235,70,30.5,997.86,5,0.25
2020-01-15 09:30,16,16,5,4982,,8,,3.22,183,65,31.78,997.96,227,0.25
2020-01-15 10:00,38,16,3,5026,67,9,,0,293,65,31.83,997.73,31,0.25
2020-01-15 10:30,22,20,3,4737,69,9,,1.61,266,68,31.11,997.83,8,0.25
2020-01-15 11:00,20,20,3,3635,65,9,,3.22,258,65,31.94,997.46,223,0.25
2020-01-15 11:30,22,16,3,3409,59,9,,0,217,67,31.67,997.05,227,0.25
2020-01-15 12:00,17,19,3,1638,,9,,3.22,177,68,31.61,996.75,57,0.25
2020-01-15 12:30,23,19,3,2707,22,9,,4.83,224,64,32.56,996.34,231,0.25
2020-01-15 13:00,25,30,,4262,153,13,,3.22,210,67,32,995.97,202,0.25
2020-01-15 13:30,17,16,,4884,102,11,,4.83,214,69,31.89,995.53,71,0.25
2020-01-15 14:00,17,16,3,4456,49,9,,4.83,189,66,32.89,995.22,125,0.25
2020-01-15 14:30,18,16,3,4047,,8,,0,88,65,32.72,995.09,148,0.25
2020-01-15 15:00,17,15,5,4270,,8,,1.61,225,65,32.44,994.78,155,0.25
2020-01-15 15:30,16,15,5,3305,,9,,1.61,184,68,31.56,995.15,34,0.25
2020-01-15 16:00,13,12,3,4164,,8,,6.44,222,71,30.39,995.12,151,0.25
2020-01-15 16:30,16,14,5,6274,,9,,0,40,74,30,995.43,79,0.25
2020-01-15 17:00,20,18,5,6771,,8,,1.61,11,76,29.44,995.9,56,0.25
2020-01-15 17:30,38,33,5,9313,,8,,1.61,322,77,28.94,996.68,11,0.25
2020-01-15 18:00,23,20,3,7424,,6,,3.22,200,79,28.72,997.02,0,0.25
2020-01-15 18:30,29,30,,7341,,4,,0,207,79,28.5,997.08,0,0
2020-01-15 19:00,30,30,,7052,,4,,1.61,202,81,28.33,997.76,0,0
2020-01-15 19:30,22,22,,9198,,4,,0,187,81,28.17,998.13,0,0
2020-01-15 20:00,42,39,,9098,,4,,0,175,81,28.11,998.3,0,0
2020-01-15 20:30,16,16,,7664,,2,,0,175,82,27.94,998.51,0,0
2020-01-15 21:00,14,12,,7322,,2,,0,208,82,27.89,998.57,0,0
2020-01-15 21:30,16,13,,18581,,2,,0,208,83,27.72,998.68,0,0
2020-01-15 22:00,16,14,,13308,,2,,0,207,84,27.56,998.71,0,0
2020-01-15 22:30,22,21,2,10988,,2,,0,208,84,27.67,998.74,0,0
2020-01-15 23:00,9,9,,4344,,2,,1.61,208,84,27.72,998.44,0,0
2020-01-15 23:30,13,13,,4044,,2,,0,321,88,27.56,998.47,0,1.02
2020-01-16 00:00,13,12,,3476,,2,,0,354,92,26.67,997.96,0,2.03
2020-01-16 00:30,8,7,,1628,,2,,0,27,92,26,997.76,0,2.03
2020-01-16 01:00,6,5,,447,,2,,1.61,27,92,25.56,997.39,0,2.03
2020-01-16 01:30,6,6,,622,,2,,0,27,92,25.5,997.39,0,2.03
2020-01-16 02:00,5,5,,232,,2,,0,35,92,25.44,997.32,0,2.03
2020-01-16 02:30,7,7,,307,,2,,0,35,92,25.44,997.25,0,2.03
2020-01-16 03:00,7,7,,1246,,2,,0,35,93,25.5,997.19,0,2.03
2020-01-16 03:30,8,8,,,,2,,0,35,93,25.33,997.46,0,2.03
2020-01-16 04:00,9,9,,,,2,,0,35,93,25.28,997.52,0,2.03
2020-01-16 04:30,9,8,,1668,,2,,0,35,93,25.5,997.8,0,2.03
2020-01-16 05:00,11,10,,1341,,2,,0,315,93,25.33,998.03,0,2.03
2020-01-16 05:30,11,10,,,,2,,0,354,93,25.33,998.2,0,2.03
2020-01-16 06:00,12,11,,1048,,2,,1.61,354,92,25.44,998.41,18,2.03
2020-01-16 06:30,15,16,,2381,,4,,0,359,91,25.67,998.47,72,2.03
2020-01-16 07:00,13,13,3,5663,,6,,1.61,12,88,26.83,998.64,181,2.03
2020-01-16 07:30,11,10,5,6646,,6,,0,15,85,27.72,999.05,134,2.03
2020-01-16 08:00,8,8,5,6474,,8,,1.61,178,81,28.61,999.12,145,2.03
2020-01-16 08:30,9,8,5,4604,,8,,1.61,209,75,30.11,999.18,35,2.03
2020-01-16 09:00,10,11,3,3018,,8,,1.61,218,74,30.17,999.29,99,2.03
2020-01-16 09:30,20,20,3,2755,,8,,1.61,205,72,30.72,999.01,89,2.03
2020-01-16 10:00,10,8,3,2204,,8,,6.44,230,68,30.89,999.01,196,2.03
2020-01-16 10:30,12,13,3,2527,,8,,1.61,210,70,30.94,998.61,45,2.03
2020-01-16 11:00,11,8,3,2529,,8,,1.61,286,71,31,998.47,205,2.03
2020-01-16 11:30,11,12,3,2336,,8,,3.22,303,72,30.78,998,59,2.03
2020-01-16 12:00,13,12,3,2138,,8,,1.61,274,65,31.94,997.66,96,2.03
2020-01-16 12:30,12,11,3,2264,,8,,1.61,328,66,31.94,997.25,50,2.03
2020-01-16 13:00,9,8,5,2428,,8,,8.05,193,60,33.83,996.61,136,2.03
2020-01-16 13:30,11,10,3,2362,,8,,3.22,207,63,33.06,996.41,34,2.03
2020-01-16 14:00,9,9,3,1890,,8,,6.44,190,60,33.78,996.2,88,2.03
2020-01-16 14:30,9,9,3,1470,,8,,3.22,191,61,33.44,995.93,228,2.03
2020-01-16 15:00,11,10,3,2264,,8,,9.66,190,59,33.72,995.66,196,2.03
2020-01-16 15:30,11,10,3,1964,,8,,6.44,196,59,33.67,995.83,56,2.03
2020-01-16 16:00,12,12,5,2384,,8,,4.83,338,62,33.06,995.8,60,
2020-01-16 16:30,15,15,5,5889,,8,,4.83,207,68,31.28,995.97,183,2.03
2020-01-16 17:00,16,14,5,6017,,8,,1.61,345,69,31.22,996.24,109,2.03
2020-01-16 17:30,13,12,5,8823,,6,,3.22,299,70,30.72,997.08,47,2.03
2020-01-16 18:00,17,15,3,7106,,4,,3.22,178,76,29.44,997.19,9,
2020-01-16 18:30,21,20,,6195,,4,,1.61,342,78,28.83,997.66,0,0
2020-01-16 19:00,19,17,,8122,,4,,0,210,78,28.5,998.17,0,0
2020-01-16 19:30,10,9,,10614,,2,,1.61,210,79,28.39,998.78,0,0
2020-01-16 20:00,12,13,,8770,,2,,0,201,80,28.22,999.18,0,0
2020-01-16 20:30,11,10,,6213,,2,,3.22,202,80,28,999.56,0,0
2020-01-16 21:00,9,9,,8601,,2,,0,328,81,27.83,999.69,0,0
2020-01-16 21:30,12,11,3,16151,,2,,0,328,82,27.61,999.42,0,
2020-01-16 22:00,13,12,,13936,,2,,0,328,82,27.61,999.35,0,0
2020-01-16 22:30,10,9,,7738,,2,,0,249,82,27.44,999.52,0,0
2020-01-16 23:00,12,12,,7841,,2,,0,249,84,27.11,999.42,0,0
2020-01-16 23:30,11,12,3,12700,,2,,0,249,85,26.78,999.01,0,0
2020-01-17 00:00,24,23,,5760,,2,,0,17,87,26.67,998.64,0,0
2020-01-17 00:30,21,21,,5616,,2,,0,17,88,26.44,998.34,0,0
2020-01-17 01:00,20,17,,6371,,2,,0,16,88,26.28,997.96,0,0
2020-01-17 01:30,13,13,,3783,,2,,1.61,16,88,26.11,997.8,0,0
2020-01-17 02:00,16,16,,2779,,2,,0,16,89,25.94,997.66,0,
2020-01-17 02:30,11,11,,1762,,2,,0,17,89,25.89,997.73,0,0
2020-01-17 03:00,14,13,,2086,,2,,0,16,89,25.72,997.83,0,0
2020-01-17 03:30,14,13,,980,,2,,0,16,89,25.72,998,0,0
2020-01-17 04:00,16,13,,2453,,2,,0,16,89,25.56,997.9,0,0
2020-01-17 04:30,11,12,,4141,,2,,0,16,90,25.22,997.93,0,0
2020-01-17 05:00,18,18,,6503,,2,,0,16,91,25.11,998.1,0,0
2020-01-17 05:30,27,25,5,13127,,2,,0,16,92,25,998.24,0,0
2020-01-17 06:00,26,23,5,15009,,2,,0,16,92,24.94,998.54,16,0
2020-01-17 06:30,44,39,8,16060,,4,,0,16,91,25.56,998.81,28,0
2020-01-17 07:00,26,24,8,16349,,6,,0,16,88,26.22,998.61,35,0
2020-01-17 07:30,6,5,8,12322,,6,,3.22,212,84,27.28,998.85,160,0
2020-01-17 08:00,8,9,5,7791,,8,,1.61,25,77,28.83,999.05,58,0
2020-01-17 08:30,8,8,5,4964,,8,,3.22,226,68,30.33,999.18,189,0
2020-01-17 09:00,7,7,5,4730,,8,,0,298,62,30.94,999.12,130,0
2020-01-17 09:30,12,11,5,3460,,6,,0,326,60,31.56,998.85,143,0
2020-01-17 10:00,14,13,3,3800,,8,,1.61,204,59,31.67,998.57,227,0
2020-01-17 10:30,11,10,3,3221,,8,,3.22,195,50,33.78,998.3,230,0
2020-01-17 11:00,8,8,5,1958,,8,,6.44,226,50,33.17,997.96,10,0
2020-01-17 11:30,10,9,3,1824,,8,,1.61,336,49,34.11,997.63,255,0
2020-01-17 12:00,9,8,3,1448,,8,,3.22,238,53,33.94,997.39,160,0
2020-01-17 12:30,6,6,3,797,,8,,6.44,199,50,34.33,996.98,230,0
2020-01-17 13:00,4,4,3,770,,8,,8.05,204,47,34.67,996.81,199,0
2020-01-17 13:30,3,3,3,1368,,8,,4.83,224,45,34.83,996.34,141,0
2020-01-17 14:00,4,4,5,1653,,8,,3.22,290,48,34.83,996.1,74,0
2020-01-17 14:30,5,4,5,1997,,8,,6.44,264,46,34.78,995.9,240,0
2020-01-17 15:00,6,6,5,2064,,8,,4.83,251,47,34.78,995.59,138,0
2020-01-17 15:30,5,6,5,2076,,8,,9.66,220,51,34.17,995.49,28,0
2020-01-17 16:00,7,7,5,2611,,8,,4.83,172,49,33.72,995.53,168,0
2020-01-17 16:30,10,9,5,3121,,8,,4.83,317,51,33.67,995.73,48,0
2020-01-17 17:00,11,11,5,4453,,8,,4.83,175,59,32.44,995.73,167,0
2020-01-17 17:30,14,13,5,5354,,6,,3.22,298,61,31.78,996.47,47,0
